adaptation,adaptation_type,adaptation_year,adaptation_director,adapatation_actor,adaptation_language,book,book_year
Agatha Christie's Poirot: The Mysterious Affair at Styles ,TV series,1990,Ross Devenish,David Suchet,English,The Mysterious Affair at Styles ,1920
Agatha Christie's Poirot: Murder on the Links,TV series,1996,Andrew Grieve,David Suchet,English,Murder on the Links,1923
Agatha Christie's Poirot: The Murder of Roger Ackroyd,TV series,2000,Andrew Grieve,David Suchet,English,The Murder of Roger Ackroyd,1926
Agatha Christie's Poirot: The Big Four,TV series,2013,Peter Lydon,David Suchet,English,The Big Four,1927
Agatha Christie's Poirot: The Mystery of the Blue Train,TV series,2006,Hettie Macdonald,David Suchet,English,The Mystery of the Blue Train,1928
Agatha Christie's Poirot: Peril at End House ,TV series,1990,Renny Rye,David Suchet,English,Peril at End House ,1931
Zagadka Endkhauza,Film,1989,Vadim Derbenyov,Anatoliy Ravikovich,Russian,Peril at End House ,1931
Lord Edgware Dies,Film,1934,Henry Edwards,Austin Trevor,English,Lord Edgware Dies,1933
Thirteen at Dinner,TV film,1985,Lou Antoni,Peter Ustinov,English,Lord Edgware Dies,1933
Agatha Christie's Poirot: Lord Edgware Dies,TV series,2000,Brian Farnham,David Suchet,English,Lord Edgware Dies,1933
Murder on the Orient Express,Film,2017,Kenneth Branagh,Kenneth Branagh,English,Murder on the Orient Express,1934
Murder on the Orient Express,Film,1974,Sidney Lumet,Albert Finney,English,Murder on the Orient Express,1934
Murder on the Orient Express,TV film,2001,Carl Schenkel,Alfred Molina,English,Murder on the Orient Express,1934
Agatha Christie's Poirot: Murder on the Orient Express,TV series,2010,Philip Martin,David Suchet,English,Murder on the Orient Express,1934
Murder on the Orient Express,TV film,2015,Keita Kono,Nomura Mansai,Japanese,Murder on the Orient Express,1934
Agatha Christie's Poirot: Three Act Tragedy,TV series,2010,Ashley Pearce,David Suchet,English,Three Act Tragedy,1934
Murder in Three Acts,TV film,1986,Gary Nelson,Peter Ustinov,English,Three Act Tragedy,1934
Agatha Christie's Poirot: Death in The Clouds,TV series,1992,Stephen Whittaker,David Suchet,English,Death in The Clouds,1935
Agatha Christie's Poirot: Murder in Mesopotamia,TV series,2001,Tom Clegg,David Suchet,English,Murder in Mesopotamia,1935
Agatha Christie's Poirot: The ABC Murders,TV series,1992,Andrew Grieve,David Suchet,English,The ABC Murders,1936
The Alphabet Murders,Film,1965,Frank Tashlin,Tony Randall,English,The ABC Murders,1936
Agatha Christie's Poirot: Cards on the Table,TV series,2001,Sarah Harding,David Suchet,English,Cards on the Table,1936
Agatha Christie's Poirot: Dumb Witness,TV series,1996,Edward Bennett,David Suchet,English,Dumb Witness,1937
Agatha Christie's Poirot: Death on the Nile,TV series,2004,Andy Wilson,David Suchet,English,Death on the Nile,1937
Death on the Nile,Film,1978,John Guillermin,Peter Ustinov,English,Death on the Nile,1937
Agatha Christie's Poirot: Appointment with Death,TV series,2008,Ashley Pearce,David Suchet,English,Appointment with Death,1937
Appointment with Death,Film,1988,Michael Winner,Peter Ustinov,English,Appointment with Death,1937
Agatha Christie's Poirot: Hercule Poirot's Christmas,TV series,1994,Edward Bennett,David Suchet,English,Hercule Poirot's Christmas,1938
Agatha Christie's Poirot: Sad Cypress,TV series,2003,David Moore,David Suchet,English,Sad Cypress,1940
Agatha Christie's Poirot: Evil Under the Sun,TV series,2001,Brian Farnham,David Suchet,English,Evil Under the Sun,1940
Evil Under the Sun,Film,1982,Guy Hamilton,Peter Ustinov,English,Evil Under the Sun,1940
"Agatha Christie's Poirot: One, Two, Buckle my Shoe",TV series,1992,Ross Devenish,David Suchet,English,"One, Two, Buckle my Shoe",1940
Agatha Christie's Poirot: Five Little Pigs,TV series,2003,Paul Unwin,David Suchet,English,Five Little Pigs,1941
Agatha Christie's Poirot: The Hollow,TV series,2004,Simon Langton,David Suchet,English,The Hollow,1946
Agatha Christie's Poirot: Taken at the Flood,TV series,2006,Andy Wilson,David Suchet,English,Taken at the Flood,1948
Agatha Christie's Poirot: Mrs McGinty's Dead,TV series,2008,Ashley Pearce,David Suchet,English,Mrs McGinty's Dead,1952
Agatha Christie's Poirot: After the Funeral,TV series,2005,Maurice Phillips,David Suchet,English,After the Funeral,1953
Agatha Christie's Poirot: Hickory Dickory Dock,TV series,1995,Andrew Grieve,David Suchet,English,Hickory Dickory Dock,1955
Agatha Christie's Poirot: Dead Man's Folly,TV series,2013,Tom Vaughan,David Suchet,English,Dead Man's Folly,1956
Dead Man's Folly,TV film,1986,Clive Donner,Peter Ustinov,English,Dead Man's Folly,1956
Agatha Christie's Poirot: Cat Among the Pigeons,TV series,2008,James Kent,David Suchet,English,Cat Among the Pigeons,1959
Agatha Christie's Poirot: The Clocks,TV series,2009,Charlie Palmer,David Suchet,English,The Clocks,1963
Agatha Christie's Poirot: Third Girl,TV series,2008,Dan Reed,David Suchet,English,Third Girl,1966
Agatha Christie's Poirot: Hallowe'en Party,TV series,2010,Charlie Palmer,David Suchet,English,Hallowe'en Party,1969
Agatha Christie's Poirot: Elephants Can Remember,TV series,2013,John Strickland,David Suchet,English,Elephants Can Remember,1972
Agatha Christie's Poirot: Curtain,TV series,2013,Hettie Macdonald,David Suchet,English,Curtain,1975